id,title,overview,soup,genres,cast,director,vote_average,vote_count,release_date,year,poster_url,category
289,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.","Drama Romance Humphrey Bogart Ingrid Bergman Paul Henreid Michael Curtiz corruption nazi escape love triangle resistance spy patriotism casablanca, morocco vichy regime visa nationalism world war ii morocco film noir black and white war psychological drama romantic adoring gloomy",Drama Romance,Humphrey Bogart Ingrid Bergman Paul Henreid,Michael Curtiz,8.1,6058,1943-01-15,1943,https://image.tmdb.org/t/p/w500/lGCEKlJo2CnWydQj7aamY7s1S7Q.jpg,top_rated
872,Singin' in the Rain,"In 1927 Hollywood, a silent film star falls for a chorus girl just as he and his paranoid screen partner struggle to make the difficult transition to talking pictures.",Comedy Romance Gene Kelly Donald O'Connor Debbie Reynolds Stanley Donen fan musical partner film in film hollywood broadway dancing in the street audience chorus girl diction coach pearl necklace flapper silent film star squeaky voice christmas 1920s satirical old hollywood playful romantic exuberant joyful optimistic,Comedy Romance,Gene Kelly Donald O'Connor Debbie Reynolds,Stanley Donen,8.13,3507,1952-04-10,1952,https://image.tmdb.org/t/p/w500/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,top_rated
797,Persona,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer.",Drama Bibi Andersson Liv Ullmann Margaretha Krook Ingmar Bergman dreams nurse confession identity crisis mental breakdown betrayal mute black and white patient psychiatry submerged mysterious institution dual personality stage actress duality dissociative identities empathetic,Drama,Bibi Andersson Liv Ullmann Margaretha Krook,Ingmar Bergman,8.1,2407,1966-10-18,1966,https://image.tmdb.org/t/p/w500/gjEDOxL1HyZOAAVQlrn04nwoax9.jpg,top_rated
666,Central Station,"An emotional journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Drama Fernanda Montenegro Vinícius de Oliveira Marília Pêra Walter Salles rio de janeiro letter wilderness teacher orphan railroad alcoholic missing parent long lost relative realism child trafficking death of parent road movie bus station lost child unwanted child truck stop woman and child lonely woman train station letter writer,Drama,Fernanda Montenegro Vinícius de Oliveira Marília Pêra,Walter Salles,8.13,1048,1998-04-03,1998,https://image.tmdb.org/t/p/w500/zJvp7XjQ2LhPbDVYhFXyucs40vR.jpg,top_rated
693134,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",Science Fiction Adventure Timothée Chalamet Zendaya Rebecca Ferguson Denis Villeneuve based on novel or book sandstorm chosen one distant future creature planet desert destiny giant worm space opera sand dune allegorical messiah fall from grace vengeance religious allegory giant creature power ambiguous antagonistic melodramatic dune best picture nominee oscar winner,Science Fiction Adventure,Timothée Chalamet Zendaya Rebecca Ferguson,Denis Villeneuve,8.128,8007,2024-02-27,2024,https://image.tmdb.org/t/p/w500/1pdfLvkbY9ohJlCjQH2CZjjYVvJ.jpg,top_rated
103,Taxi Driver,"Suffering from insomnia, disturbed loner Travis Bickle takes a job as a New York City cabbie, haunting the streets nightly, growing increasingly detached from reality as he dreams of cleaning up the filthy city.","Crime Drama Robert De Niro Jodie Foster Cybill Shepherd Martin Scorsese drug dealer vietnam veteran new york city taxi pornography obsession taxi driver 1970s pimp observer firearm politician alienation junk food misanthrophy vigilante political campaign cynical illegal prostitution urban decay character study loner manhattan, new york city meditative neo-noir child prostitution complex new hollywood dreary cautionary drives provocative antagonistic audacious callous",Crime Drama,Robert De Niro Jodie Foster Cybill Shepherd,Martin Scorsese,8.126,13454,1976-02-09,1976,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg,top_rated
475557,Joker,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",Crime Thriller Drama Joaquin Phoenix Robert De Niro Zazie Beetz Todd Phillips society based on comic social commentary psychological thriller criminal mastermind mental illness anarchy character study clown makeup outsider prophetic social realism tv host 1980s mother son relationship origin story falling into madness anti-capitalist best picture nominee oscar winner,Crime Thriller Drama,Joaquin Phoenix Robert De Niro Zazie Beetz,Todd Phillips,8.125,27747,2019-10-01,2019,https://image.tmdb.org/t/p/w500/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,top_rated
1297842,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",Animation Comedy Family Caleb McLaughlin Gabrielle Union Stephen Curry Tyree Dillihay underdog friendship sports allies ambition bullying challenge basketball rivalry coming of age anthropomorphism animals intimidation stereotype basketball team basketball player big dreams imaginary world sneakers vulture playful talking animal anthropomorphic animal athlete inspirational enemy courage feel good heartwarming exciting fantasy sports admiring amused joyful sports comedy,Animation Comedy Family,Caleb McLaughlin Gabrielle Union Stephen Curry,Tyree Dillihay,8.126,755,2026-02-11,2026,https://image.tmdb.org/t/p/w500/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg,top_rated
606856,Togo,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",Adventure Family Willem Dafoe Julianne Nicholson Christopher Heyerdahl Ericson Core snowstorm husky based on true story puppy alaska snow historical dog sled dogs 1920s pets,Adventure Family,Willem Dafoe Julianne Nicholson Christopher Heyerdahl,Ericson Core,8.119,2260,2019-12-20,2019,https://image.tmdb.org/t/p/w500/921q4gPNN4J6UxvKaw6SCNBe3F8.jpg,top_rated
575813,Better Days,"A bullied teenage girl forms an unlikely friendship with a mysterious young man who protects her from her assailants, while she copes with the pressures of her final examinations.",Drama Crime Romance Zhou Dongyu Jackson Yee Yin Fang Derek Tsang Kwok-Cheung affectation bullying thoughtful bully victim tense depressing distressing tragic,Drama Crime Romance,Zhou Dongyu Jackson Yee Yin Fang,Derek Tsang Kwok-Cheung,8.117,556,2019-10-25,2019,https://image.tmdb.org/t/p/w500/csVZ2ZQCj98XdZoCuW1aixMYJ0W.jpg,top_rated
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"After the insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union, a war room full of politicians, generals and a Russian diplomat all frantically try to stop it.",Comedy War Peter Sellers George C. Scott Sterling Hayden Stanley Kubrick usa president general cold war strategic air command dark comedy nuclear missile satire black and white cynical war room bomber pilot nuclear weapons ex-nazi anti war doomsday device absurdism satirical hilarious audacious farcical sardonic everyone dies,Comedy War,Peter Sellers George C. Scott Sterling Hayden,Stanley Kubrick,8.1,6155,1964-01-29,1964,https://image.tmdb.org/t/p/w500/6x7MzQ6BOMlRzam1StcmPO9v61g.jpg,top_rated
600,Full Metal Jacket,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Drama War Matthew Modine Adam Baldwin Vincent D'Onofrio Stanley Kubrick rescue sniper vietnam war suicide vietnam helicopter army prostitute based on novel or book propaganda war correspondent journalism recruit infantry war photographer boot camp jungle sergeant racism genocide fighting platoon combat discipline u.s. marine obstacle course military anti war mass grave blanket party soldiers war critical frustrated harsh scathing,Drama War,Matthew Modine Adam Baldwin Vincent D'Onofrio,Stanley Kubrick,8.1,11470,1987-06-26,1987,https://image.tmdb.org/t/p/w500/v3XKSMRIXYwETiRQOTwL4MP1BIo.jpg,top_rated
458220,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",Drama Justin Timberlake Ryder Allen Juno Temple Fisher Stevens small town homophobia young boy ex-con house trailer bullied irresponsible parent adult child friendship guardianship drug addict,Drama,Justin Timberlake Ryder Allen Juno Temple,Fisher Stevens,8.1,1911,2021-01-28,2021,https://image.tmdb.org/t/p/w500/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg,top_rated
500,Reservoir Dogs,"A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",Crime Thriller Harvey Keitel Tim Roth Michael Madsen Quentin Tarantino escape jewelry psychopath traitor ear heist thief betrayal plan gone wrong gang nonlinear timeline warehouse told in flashback heist gone wrong botched robbery angry desperate based on short film suspenseful antagonistic,Crime Thriller,Harvey Keitel Tim Roth Michael Madsen,Quentin Tarantino,8.1,15472,1992-09-02,1992,https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,top_rated
